序号,红1,红2,红3,红4,红5,蓝1,蓝2
1,1,7,8,26,31,4,11
2,1,8,23,24,29,1,9
3,1,16,17,24,26,4,11
4,1,16,22,26,27,5,12
5,1,8,25,31,34,1,9
6,2,9,19,22,34,1,6
7,1,9,14,20,21,3,12
8,1,9,17,20,24,6,11
9,5,7,16,26,35,3,12
10,1,20,21,26,33,2,9
11,1,12,15,21,27,1,8
12,7,12,15,21,27,5,12
13,1,15,19,22,33,8,9
14,1,7,24,26,31,4,11
15,5,7,8,12,23,1,9
16,1,7,12,30,31,5,10
17,2,4,13,17,19,4,9
18,1,13,15,17,19,7,12
19,1,2,8,15,24,2,6
20,1,2,8,19,22,1,6
21,1,4,13,15,20,2,12
22,1,4,16,17,26,4,11
23,2,3,19,24,27,9,12
24,2,18,19,24,27,5,10
25,2,6,15,21,23,5,12
26,7,15,17,21,23,2,7
27,5,7,8,11,15,1,10
28,5,7,8,11,15,5,11
29,2,3,10,17,19,4,12
30,2,3,12,17,33,3,4
31,7,16,20,21,31,1,12
32,7,16,20,22,31,1,5
33,6,8,13,16,26,2,9
34,3,8,13,16,26,4,8
35,3,8,29,32,33,4,8
36,7,12,21,22,33,4,12
37,1,10,27,30,32,5,11
38,1,7,25,30,33,4,9
39,3,6,12,27,30,1,8
40,5,12,18,25,32,5,12
41,2,6,18,21,22,7,10
42,2,6,20,21,22,3,12
43,4,7,17,30,31,2,9
44,3,6,21,28,33,3,11
45,6,7,8,11,28,1,11
46,6,7,8,21,32,1,11
47,1,7,27,29,34,1,8
48,7,12,27,30,32,5,11
49,5,22,28,29,30,3,11
50,4,15,17,29,32,1,12
51,2,15,25,31,34,1,9
52,2,8,20,21,35,2,7
53,2,7,13,22,26,2,9
54,7,13,15,21,26,7,12
55,7,9,12,25,28,3,8
56,1,9,12,29,31,4,9
57,6,8,12,27,34,3,12
58,2,3,11,21,26,9,11
59,6,8,19,22,34,1,6
60,4,8,19,22,32,6,12
61,6,11,19,22,27,2,12
62,1,2,4,6,27,2,7
63,1,2,4,6,15,4,8
64,5,8,21,32,33,2,12
65,1,5,15,32,34,1,10
66,1,8,18,20,21,1,7
67,1,8,18,20,21,3,12
68,6,13,16,21,26,6,12
69,1,13,16,21,27,2,9
70,5,12,21,24,30,5,9
71,1,15,21,30,31,5,10
72,3,7,18,21,26,1,11
73,6,7,18,21,32,3,9
74,5,8,18,24,26,5,12
75,1,8,18,24,26,1,9
76,1,8,13,18,26,1,7
77,1,8,13,19,26,6,12
78,3,16,18,20,29,4,9
79,7,9,20,21,30,1,11
80,4,7,11,14,25,5,7
81,4,7,11,14,18,2,10
82,4,11,15,21,26,9,11
83,2,11,15,17,22,5,11
84,9,12,20,29,32,1,12
85,5,22,24,28,34,2,12
86,4,5,17,25,27,4,8
87,1,4,17,22,26,2,7
88,1,5,12,15,35,1,12
89,4,15,21,29,30,5,12
90,5,12,17,19,23,1,10
91,3,12,17,19,23,5,10
92,4,6,7,8,26,4,8
93,4,6,7,8,31,3,5
94,3,5,12,18,19,5,10
95,2,3,12,18,19,1,8
96,1,2,9,14,22,3,12
97,1,2,9,14,18,1,10
98,1,8,15,19,21,1,11
99,4,8,15,19,21,5,12
100,1,7,8,16,18,2,9
101,5,7,8,16,18,1,7
102,1,3,6,14,27,6,9
103,2,3,9,18,23,1,10
104,4,6,7,8,11,1,11
105,4,6,7,8,21,1,11
106,1,10,15,21,25,5,12
107,1,10,15,21,25,4,9
108,1,2,3,7,18,1,10
109,1,2,3,7,24,3,9
110,5,6,8,17,22,3,8
111,5,6,8,17,26,2,7
112,3,10,17,18,26,5,11
113,4,7,17,18,19,4,12
114,1,3,14,18,33,2,8
115,4,5,7,18,26,5,11
116,4,5,8,18,21,1,9
117,4,5,20,24,34,2,12
118,9,12,15,20,35,1,12
119,4,13,15,22,27,1,10
120,5,8,15,22,32,2,12
121,1,13,21,24,32,1,10
122,5,8,15,21,24,5,9
123,1,7,10,24,33,1,7
124,4,7,10,24,27,5,11
125,1,7,19,27,34,4,12
126,8,10,17,30,32,5,11
127,2,7,12,23,27,1,12
128,1,2,12,23,27,1,8
129,2,7,9,11,17,1,11
130,2,6,7,9,23,2,11
131,3,4,8,10,13,4,10
132,3,4,8,10,19,1,12
133,5,17,18,21,33,2,12
134,4,16,17,20,33,2,9
135,6,7,14,15,26,3,7
136,6,7,14,23,26,2,11
137,3,4,19,22,27,1,12
138,1,2,23,27,32,4,5
139,2,9,15,18,26,9,10
140,1,9,15,18,26,1,10
141,11,13,21,22,35,5,6
142,4,9,21,27,34,2,6
143,8,9,18,31,34,6,10
144,4,12,20,24,34,2,12
145,1,8,19,31,34,1,6
146,3,4,7,13,15,2,12
147,3,4,13,21,29,2,9
148,10,22,23,25,28,3,7
149,1,14,22,23,25,2,10
150,1,12,17,19,21,1,10
151,3,12,17,19,21,6,9
152,1,7,23,27,35,5,12
153,7,17,21,30,32,5,11
154,2,11,29,30,31,6,7
155,1,15,21,26,33,9,11
156,1,4,7,16,21,2,12
157,1,4,7,16,17,1,9
158,7,12,15,20,21,1,12
159,5,7,14,18,20,1,8
160,3,17,21,23,35,5,12
161,1,7,15,21,22,4,12
162,1,5,17,23,27,4,7
163,1,5,8,15,17,1,10
164,2,7,21,23,33,2,12
165,11,13,21,23,26,2,11
166,1,3,10,17,23,4,11
167,1,3,10,17,19,4,7
168,2,9,10,23,35,5,12
169,7,17,19,21,33,3,11
170,4,13,21,26,32,6,12
171,3,4,6,17,22,3,12
172,3,4,6,12,17,1,12
173,7,8,23,24,29,1,9
174,11,13,14,15,20,2,12
175,4,11,13,25,29,5,7
176,4,6,10,21,28,1,11
177,6,9,10,14,17,5,9
178,5,21,22,30,33,4,5
179,4,14,24,28,34,2,12
180,1,7,9,10,25,5,12
181,2,7,9,10,25,4,9
182,6,7,17,22,24,1,12
183,4,7,8,21,32,1,11
184,1,7,11,13,21,2,12
185,1,7,11,13,27,1,8
186,1,10,17,19,27,1,11
187,7,10,12,19,29,5,11
188,2,8,22,23,25,2,10
189,1,14,15,24,32,2,6
190,1,14,17,22,30,5,11
191,8,10,17,22,23,3,8
192,1,7,16,20,21,1,10
193,1,7,20,22,24,5,12
194,1,8,15,26,27,9,12
195,1,8,15,19,26,1,11
196,1,9,20,21,30,1,11
197,7,8,18,26,35,1,7
198,1,15,21,26,32,9,11
199,1,7,8,23,26,1,9
200,1,7,8,23,24,4,8
201,1,8,15,19,31,1,11
202,1,8,15,19,21,1,6
203,1,4,13,15,20,9,12
204,1,9,17,20,33,2,9
205,4,15,16,18,26,1,10
206,4,6,9,13,16,1,10
207,4,7,9,13,15,4,9
208,1,2,8,20,21,2,9
209,1,2,8,20,21,2,7
210,1,7,12,19,27,1,8
211,3,6,12,19,27,4,12
212,3,17,21,23,35,1,12
213,1,6,8,14,19,3,12
214,1,6,8,22,27,1,6
215,3,8,18,24,26,1,9
216,1,6,21,28,33,3,11
217,3,7,18,29,35,4,9
218,7,8,9,21,26,1,11
219,1,8,9,13,17,6,11
220,1,8,9,13,17,1,7
221,7,9,16,21,24,1,10
222,1,9,13,21,29,4,9
223,1,8,14,18,20,1,7
224,1,8,14,22,23,3,12
225,1,2,7,23,24,1,10
226,1,2,7,24,33,4,11
227,2,8,9,19,35,1,6
228,2,8,9,20,21,2,7
229,5,7,10,23,35,5,12
230,2,9,16,26,35,3,12
231,2,3,19,20,29,4,9
232,3,16,18,27,31,5,10
233,1,20,21,26,33,1,9
234,5,17,18,24,32,1,9
235,1,13,21,24,33,2,12
236,1,5,14,17,18,3,12
237,1,5,14,17,22,2,12
238,1,4,13,15,22,9,11
239,1,4,13,15,26,1,10
240,2,4,20,22,24,1,12
241,4,17,19,20,21,3,12
242,2,4,9,13,29,5,12
243,2,4,9,10,13,2,12
244,6,8,17,22,24,1,12
245,4,8,12,17,27,3,12
246,2,8,15,27,32,2,12
247,5,8,18,20,21,3,12
248,6,11,15,20,35,1,12
249,9,12,19,22,27,2,12
250,3,8,9,16,18,1,12
251,1,3,8,20,29,1,6
252,1,7,16,19,26,3,12
253,5,7,16,19,27,4,12
254,4,12,19,27,34,4,12
255,1,7,20,24,34,2,12
256,2,7,9,22,31,5,12
257,7,12,17,23,27,1,12
258,1,7,15,19,27,4,12
259,1,7,15,19,22,8,9
260,7,20,21,28,33,1,11
261,4,6,21,26,35,1,12
262,2,7,9,24,33,1,10
263,1,2,9,16,29,4,9
264,1,8,21,32,33,2,12
265,5,8,18,24,26,1,9
266,3,8,21,32,33,2,12
267,5,12,19,20,33,1,10
268,1,9,12,14,22,3,12
269,1,9,12,14,22,4,12
270,4,5,8,13,21,2,12
271,4,5,8,13,21,6,12
272,2,7,12,18,19,5,10
273,2,7,12,18,19,1,12
274,3,7,21,32,35,1,11
275,4,6,19,22,27,7,12
276,1,4,7,25,30,2,10
277,1,4,7,17,30,4,9
278,1,7,11,21,26,1,12
279,7,8,20,21,26,4,11
280,2,21,23,24,33,2,12
281,3,5,10,20,24,2,12
282,4,5,10,17,19,4,12
283,1,15,20,21,26,3,12
284,1,2,15,25,31,1,11
285,2,13,21,26,35,1,12
286,7,15,20,21,35,2,12
287,1,7,10,18,31,6,10
288,4,8,10,18,24,1,7
289,4,5,19,22,34,1,6
290,3,8,20,24,34,2,12
291,1,14,15,22,27,5,10
292,6,14,15,21,22,3,12
293,5,8,15,22,35,4,9
294,7,9,16,22,32,2,12
295,5,17,24,28,34,2,12
296,5,18,21,22,33,2,12
297,1,9,12,15,16,6,9
298,5,7,9,15,16,7,10
299,6,8,25,30,33,4,9
