序号,红1,红2,红3,红4,红5,蓝1,蓝2
1,1,4,18,25,32,7,11
2,5,13,24,28,35,4,6
3,2,4,8,20,23,5,11
4,2,5,18,21,24,7,11
5,3,9,12,22,27,6,12
6,3,22,25,27,29,5,11
7,7,14,18,22,24,2,10
8,5,8,18,22,25,2,10
9,1,2,18,19,25,5,12
10,1,9,10,32,34,1,9
11,3,5,18,22,32,6,12
12,3,5,15,18,22,3,11
13,7,15,26,31,34,3,7
14,8,9,24,33,35,4,6
15,6,14,17,23,32,3,11
16,4,9,19,23,34,1,12
17,4,5,19,29,33,4,6
18,3,7,9,10,20,7,12
19,2,7,9,12,28,6,11
20,6,8,22,31,32,2,10
21,3,12,17,29,31,4,11
22,1,7,11,18,35,5,8
23,1,5,8,23,34,2,11
24,4,6,16,22,35,1,10
25,1,16,19,29,33,3,12
26,6,9,12,26,34,7,12
27,1,8,14,23,29,3,10
28,2,9,18,29,32,1,9
29,2,8,19,24,35,1,12
30,11,12,17,22,23,3,7
31,1,6,8,26,28,5,9
32,1,6,7,20,32,3,11
33,2,4,6,9,22,3,9
34,2,4,9,15,19,3,10
35,1,8,10,17,28,2,10
36,4,8,10,22,31,1,9
37,3,11,21,22,32,1,11
38,6,7,20,24,34,1,11
39,1,17,26,29,33,3,12
40,4,17,18,32,35,4,8
41,4,9,10,16,30,2,11
42,4,9,19,22,30,5,12
43,4,6,22,31,33,2,5
44,3,8,22,25,27,5,10
45,7,15,17,25,27,4,8
46,2,13,19,23,35,2,8
47,2,5,11,13,17,4,12
48,2,5,9,21,25,5,9
49,3,4,15,28,33,4,9
50,1,17,18,19,33,2,10
51,7,12,13,25,28,6,12
52,3,12,13,25,28,2,10
53,1,3,14,16,21,3,10
54,1,3,14,16,21,1,12
55,2,21,22,23,25,1,12
56,3,8,13,32,34,5,8
57,8,13,23,26,33,3,10
58,1,11,19,28,32,1,11
59,7,9,11,25,29,5,9
60,5,9,11,25,26,1,12
61,1,12,13,17,27,1,12
62,3,12,13,14,29,7,8
63,1,3,15,20,32,2,6
64,1,3,15,18,22,2,8
65,1,18,19,25,35,4,7
66,2,22,23,30,35,2,9
67,7,10,12,13,33,2,12
68,5,8,23,30,33,6,12
69,8,11,12,14,15,4,9
70,2,11,12,14,15,1,11
71,4,6,9,12,22,6,10
72,3,4,9,12,19,5,12
73,7,14,15,28,32,8,10
74,1,14,15,18,25,2,10
75,1,16,21,23,34,2,10
76,6,11,22,30,35,3,10
77,3,10,11,23,30,6,12
78,7,10,11,14,30,2,5
79,1,5,8,13,14,3,10
80,1,5,8,13,29,1,11
81,3,4,6,14,19,5,7
82,3,4,6,14,19,2,12
83,4,7,13,17,19,1,7
84,2,7,13,14,17,2,11
85,4,5,20,23,25,2,9
86,4,5,11,18,20,3,9
87,4,9,20,26,35,2,7
88,2,11,12,23,35,3,7
89,1,9,15,26,35,3,6
90,3,12,25,30,34,6,10
91,5,21,25,27,32,2,8
92,3,5,25,26,31,4,12
93,6,13,16,21,26,4,10
94,4,13,16,21,26,2,10
95,4,8,14,17,20,1,12
96,4,8,14,17,33,3,6
97,2,12,19,20,22,5,10
98,1,12,19,20,28,1,12
99,4,7,13,17,29,6,11
100,3,4,13,17,31,7,12
101,2,3,4,15,20,4,12
102,2,3,4,21,30,4,11
103,3,20,22,24,25,2,6
104,1,4,20,24,29,5,12
105,2,8,13,18,21,6,12
106,2,8,13,23,27,4,12
107,4,10,25,26,35,2,11
108,1,7,15,21,31,2,10
109,1,7,15,21,23,6,10
110,2,6,22,31,34,1,12
111,4,6,20,26,29,2,10
112,2,19,25,29,33,5,10
113,1,15,20,32,34,1,12
114,6,8,20,27,33,1,11
115,2,11,25,26,32,6,12
116,3,13,25,29,31,3,12
117,2,10,14,15,20,4,8
118,1,10,14,15,20,1,12
119,3,12,13,15,18,3,8
120,5,12,13,15,33,6,12
121,1,5,11,12,13,4,12
122,1,5,11,12,21,2,9
123,3,15,24,31,33,2,10
124,2,5,24,30,33,6,9
125,2,7,8,16,27,6,11
126,2,7,9,14,25,3,10
127,4,16,20,26,29,3,7
128,3,16,20,26,29,3,10
129,7,8,20,22,23,4,5
130,1,4,20,29,30,1,11
131,3,5,12,22,30,3,9
132,3,5,9,19,21,1,12
133,3,11,20,24,34,1,11
134,3,11,14,30,34,8,11
135,3,9,14,22,34,5,6
136,6,9,16,20,32,1,12
137,6,8,16,20,28,3,10
138,1,3,5,8,29,5,12
139,1,3,5,8,23,1,11
140,1,3,11,14,26,1,7
141,1,3,14,18,31,5,9
142,2,8,15,25,32,1,7
143,2,8,15,21,28,2,10
144,2,19,22,23,25,3,12
145,4,19,22,23,25,2,5
146,4,8,10,12,29,5,11
147,4,10,12,23,29,1,8
148,2,5,6,11,13,4,12
149,2,5,6,11,28,6,7
150,2,8,11,15,23,4,11
151,4,8,11,15,23,4,11
152,3,10,14,19,27,6,8
153,1,10,14,27,29,6,12
154,13,14,21,24,31,5,9
155,7,17,21,30,32,2,12
156,4,8,20,26,28,3,5
157,3,6,8,22,28,6,10
158,2,5,7,11,14,3,10
159,2,7,11,14,21,1,12
160,1,4,5,11,12,5,9
161,1,4,5,11,22,3,9
162,1,6,19,24,31,1,2
163,5,14,19,24,25,3,8
164,1,5,8,18,25,5,10
165,3,5,8,18,25,2,11
166,6,10,17,28,32,2,12
167,1,2,9,20,21,4,9
168,1,2,4,14,20,3,10
169,4,9,19,30,32,4,7
170,3,15,17,29,33,4,6
171,5,8,15,22,31,1,9
172,5,8,14,20,29,7,10
173,2,7,11,16,20,1,4
174,3,10,14,16,23,1,12
175,3,5,10,15,31,1,12
176,3,5,11,15,31,5,9
177,1,3,7,14,32,5,10
178,2,3,5,8,29,4,9
179,2,5,14,27,29,6,12
180,3,5,10,14,23,3,8
181,1,8,25,26,33,3,11
182,2,12,18,30,35,2,6
183,4,9,10,18,31,1,10
184,1,5,8,14,24,3,5
185,1,5,8,14,26,1,12
186,2,10,12,28,35,6,12
187,3,9,25,27,34,4,12
188,7,8,21,27,33,7,12
189,3,5,25,29,34,1,8
190,1,5,9,10,27,2,10
191,1,5,9,10,19,8,11
192,5,13,14,24,25,7,11
193,3,4,14,24,29,1,10
194,1,11,18,21,28,1,8
195,1,5,12,21,28,6,10
196,3,11,18,19,25,1,10
197,3,15,18,33,34,2,10
198,6,9,21,24,35,3,8
199,5,19,21,28,32,2,11
200,2,11,18,23,33,5,12
201,1,4,11,23,31,6,7
202,4,7,14,25,33,1,10
203,1,4,6,19,24,3,5
204,1,4,6,19,24,4,6
205,3,17,22,24,29,2,12
206,3,17,22,24,29,4,12
207,4,15,16,30,33,5,10
208,6,9,19,22,33,5,11
209,3,10,14,18,20,2,6
210,7,12,14,18,30,3,12
211,4,10,18,19,20,5,12
212,2,10,18,19,20,3,12
213,6,11,12,30,32,5,12
214,4,8,14,31,32,1,7
215,6,12,16,23,27,4,10
216,3,6,14,16,21,3,11
217,2,6,14,22,31,7,11
218,2,3,7,13,26,1,11
219,2,3,11,15,33,2,10
220,3,9,14,23,26,3,12
221,4,10,13,26,35,2,10
222,1,5,18,20,27,4,11
223,3,4,18,20,28,1,12
224,2,3,12,18,32,5,9
225,2,3,11,27,32,1,3
226,2,12,14,15,18,2,11
227,2,5,12,14,33,3,7
228,5,7,10,13,33,1,11
229,1,5,9,12,26,6,10
230,1,7,10,13,18,3,10
231,1,5,7,20,27,3,7
232,3,18,22,32,34,4,6
233,1,12,19,26,31,5,8
234,1,5,11,19,24,1,7
235,5,6,11,19,24,3,7
236,3,10,21,25,33,6,8
237,9,10,19,28,32,2,8
238,3,19,20,21,31,5,12
239,1,7,21,25,32,4,12
240,1,5,17,25,29,2,10
241,1,5,18,27,28,2,11
242,2,5,10,13,19,4,12
243,2,5,10,13,17,1,11
244,6,17,18,21,29,1,11
245,3,17,18,21,29,3,10
246,1,5,19,21,32,3,7
247,3,5,21,24,30,2,7
248,7,12,16,18,20,7,10
249,5,12,16,18,29,2,6
250,3,5,6,23,28,1,12
251,3,11,28,32,33,2,10
252,4,6,18,31,35,7,11
253,3,6,8,20,21,2,12
254,3,6,8,19,22,1,11
255,5,7,8,14,24,8,11
256,2,7,8,14,24,5,12
257,6,14,16,22,35,4,11
