红1,红2,红3,红4,红5,蓝1,蓝2
1,2,6,8,16,8,10
1,2,3,11,19,4,9
1,3,4,6,9,2,9
1,2,6,16,18,7,7
1,5,7,10,14,2,10
1,4,6,11,15,6,8
5,6,8,11,17,10,10
1,2,3,4,8,7,10
1,4,7,11,14,3,10
3,6,8,11,19,2,7
1,2,4,13,32,4,10
1,2,3,4,9,2,12
2,7,10,12,13,4,11
1,2,3,4,10,2,8
1,2,3,4,16,3,9
2,3,5,18,19,2,7
1,3,5,14,25,2,6
1,2,3,6,10,4,12
2,5,7,10,12,3,7
1,3,4,10,16,4,12
2,5,7,8,21,4,7
2,3,5,13,18,6,12
4,9,11,13,15,5,10
3,4,5,16,19,6,11
2,3,5,7,8,3,10
2,5,6,8,10,2,3
2,3,14,16,17,1,12
2,3,4,11,18,4,12
1,5,6,12,22,6,11
3,5,10,12,14,4,11
1,3,8,10,13,3,5
1,3,5,6,10,3,5
1,2,5,6,9,4,10
3,4,5,10,19,1,3
2,4,5,7,11,6,10
4,5,6,8,17,2,8
1,2,5,8,11,3,8
1,3,5,6,7,8,10
1,4,6,7,16,5,9
2,4,14,16,17,1,5
1,3,7,10,30,2,5
1,4,5,6,18,5,11
5,6,7,8,12,2,8
1,3,4,13,14,1,8
3,4,6,7,16,3,10
1,4,5,10,13,3,5
1,6,8,9,28,4,6
2,3,6,12,14,6,9
2,3,4,6,8,6,11
2,4,5,7,8,1,9
1,3,5,10,20,9,12
1,2,3,7,24,6,8
1,3,4,14,17,2,10
1,2,3,4,6,2,5
1,4,6,14,18,8,10
2,3,6,10,21,10,12
1,3,4,10,12,11,12
2,4,9,11,16,1,12
1,2,3,6,7,5,9
1,4,5,11,12,1,11
1,2,3,6,8,3,9
3,4,5,6,9,8,12
2,4,15,20,3,4,8
2,4,6,7,12,4,12
1,2,3,5,10,4,8
1,2,3,5,7,2,3
1,5,6,15,21,2,11
1,2,7,8,11,3,6
1,2,3,4,8,4,12
3,5,6,7,3,6,10
2,3,5,6,13,2,9
1,3,5,10,11,1,12
1,6,7,13,25,2,9
3,5,6,7,15,6,6
1,2,4,5,6,2,10
1,3,5,10,22,2,11
3,4,5,6,15,7,12
2,6,8,9,15,6,7
2,3,7,10,14,5,11
4,5,6,8,13,5,8
1,2,3,4,5,6,11
5,6,8,12,26,6,11
1,2,5,8,9,1,10
1,4,5,6,9,5,10
2,3,6,11,17,3,7
1,2,6,8,14,1,12
1,3,7,9,11,5,9
2,3,6,8,11,2,11
1,4,5,12,15,9,10
1,2,3,6,14,7,7
1,2,4,17,24,4,10
1,2,5,9,13,6,4
1,3,5,9,13,4,11
2,4,5,11,12,2,9
3,5,6,8,13,7,12
1,4,10,16,18,3,5
1,7,8,11,12,6,12
1,3,9,10,11,3,12
1,6,9,19,21,4,6
2,4,5,7,8,5,9
1,5,7,13,19,3,9
1,7,10,12,13,2,12
1,2,3,4,17,4,6
4,6,8,14,16,3,12
2,5,11,17,1,1,10
