code,name
000001,平安银行
000002,万科A
000063,中兴通讯
000066,中国长城
000069,华侨城A
000100,TCL科技
000157,中联重科
000166,申万宏源
000333,美的集团
000338,潍柴动力
000425,徐工机械
000568,泸州老窖
000596,古井贡酒
000625,长安汽车
000651,格力电器
000656,金科股份
000661,长春高新
000688,国城矿业
000703,中信海直
000708,中信特钢
000723,美锦能源
000725,京东方A
000768,中航西飞
000776,广发证券
000786,北新建材
000858,五粮液
000876,新希望
000895,双汇发展
000898,鞍钢股份
000938,紫光股份
001979,招商蛇口
002001,新和成
002049,紫光国微
002050,三花智控
002129,中环股份
002142,宁波银行
202475,立讯精密
002460,赣锋锂业
002475,立讯精密
002466,天齐锂业
002493,荣盛石化
002594,比亚迪
002601,龙佰集团
002602,世纪华通
002624,完美世界
002648,卫星化学
002670,国盛金控
002714,牧原股份
002739,万达电影
002812,恩捷股份
002821,高德红外
002841,视源股份
002920,德赛西威
003816,中国广核
600000,浦发银行
600009,上海机场
600010,包钢股份
600011,华能国际
600012,皖通高速
600015,华夏银行
600016,民生银行
600017,日照港
600018,上港集团
600019,宝钢股份
600020,中原高速
600021,上海电力
600023,浙能电力
600025,华能水电
600026,中远海能
600027,华电国际
600028,中国石化
600029,南方航空
600030,中信证券
600031,三一重工
600036,招商银行
600037,歌华有线
600048,保利发展
600050,中国联通
600060,海信视像
600061,国投资本
600066,宇通客车
600068,葛洲坝
600085,同仁堂
600089,特变电工
600095,长江电力
600096,云天化
600104,上汽集团
600109,国金证券
600111,北方稀土
600115,中国东航
600118,中国卫星
600150,中国船舶
600153,建发股份
600160,巨化股份
600176,中国巨石
600183,生益科技
600188,兖矿能源
600196,复星医药
600197,伊力特
600199,金种子酒
600201,生物股份
600208,新湖中宝
600210,紫江企业
600219,南山铝业
600223,福能股份
600233,圆通速递
600236,桂冠电力
600240,华业资本
600246,万通发展
600256,广汇能源
600260,凯乐科技
600271,航天信息
600276,恒瑞医药
600282,南钢股份
600297,广汇汽车
600299,安琪酵母
600309,万华化学
600332,白云山
600340,华夏幸福
600346,恒力石化
600352,浙江龙盛
600362,江西铜业
600369,西南证券
600372,中航电子
600373,中文传媒
600375,华骏科技
600376,首开股份
600377,宁沪高速
600380,健康元
600383,金地集团
600390,五矿资本
600392,盛和资源
600395,盘江股份
600398,海澜之家
600406,国电南瑞
600436,片仔癀
600438,通威股份
600460,士兰微
600482,中国动力
600486,扬农化工
600489,中金黄金
600498,烽火通信
600500,中化国际
600503,华丽家族
600511,国药股份
600516,方大炭素
600519,贵州茅台
600521,华海药业
600523,航发动力
600535,天士力
600536,中国软件
600543,莫高股份
600546,山煤国际
600547,山东黄金
600548,深高速
600550,保变电气
600559,老白干酒
600570,恒生电子
600582,天地科技
600585,海螺水泥
600586,金晶科技
600587,新华医疗
600588,用友网络
600590,泰豪科技
600595,中孚实业
600597,光明乳业
600598,北大荒
600600,青岛啤酒
600606,绿地控股
600637,东方明珠
600649,城投控股
600660,福耀玻璃
600663,陆家嘴
600664,哈药股份
600667,太极实业
600668,尖峰集团
600674,川投能源
600675,中国船舶
600690,海尔智家
600703,三安光电
600705,中航资本
600739,辽宁成大
600741,华域汽车
600745,闻泰科技
600748,上实发展
600760,中航沈飞
600763,通策医疗
600795,国电电力
600801,华新水泥
600803,新奥股份
600808,马钢股份
600809,山西汾酒
600820,隧道股份
600823,世茂股份
600835,上海机电
600837,海通证券
600845,宝信软件
600848,上海临港
600850,华东电脑
600872,中炬高新
600875,东方电气
600879,航天电子
600886,国投电力
600887,伊利股份
600893,航发动力
600900,中国核电
600905,三峡能源
600917,重庆燃气
600918,中泰证券
600919,江苏银行
600926,杭州银行
600927,永安期货
600933,爱柯迪
600936,中国电影
600941,中国移动
600958,东方证券
600959,江苏有线
600967,内蒙一机
600968,海油发展
600977,中国电影
600980,北摩高科
600985,淮北矿业
600989,宁波韵升
600990,四创电子
600996,贵广网络
600998,九州通
600999,招商证券
601006,大秦铁路
601009,南京银行
601012,隆基绿能
601015,陕西煤业
601016,节能风电
601018,宁波港
601021,春秋航空
601028,玉龙股份
601038,一拖股份
601059,信达证券
600606,绿地控股
601066,中信建投
601088,中国神华
601099,太平洋
601100,恒立液压
601101,昊华能源
601108,财通证券
601111,中国国航
601117,中国化学
601118,海南控股
601138,工业富联
601155,新城控股
601162,天风证券
601166,兴业银行
601169,北京银行
601186,中国铁建
601198,东兴证券
601211,国泰君安
601216,君正集团
601225,陕西煤业
601229,上海银行
601231,环旭电子
601236,红塔证券
601238,广汽集团
601288,农业银行
601298,青岛港
601318,中国平安
601319,中国人保
601328,交通银行
601336,新华保险
601339,百隆东方
601360,三六零
601368,绿城水务
601377,兴业证券
601390,中国中铁
601398,工商银行
601428,中国人寿
601433,兴业银行
601456,国联证券
601512,中新集团
601555,东吴证券
601588,北辰实业
601600,中国铝业
601601,中国太保
601607,上海医药
601618,中国中冶
601628,中国人寿
601633,长城汽车
601636,旗滨集团
601658,邮储银行
601661,中国建筑
601668,中国建筑
601669,中国电建
601673,珠江股份
601677,宁夏建材
601689,中国中免
601696,兰石重装
601698,中国卫通
601699,潞安环能
601717,郑煤机
601727,上海电气
601728,中国电信
601766,中国中车
601788,光大证券
601800,中国交建
601808,中海油服
601816,京沪高铁
601818,光大银行
601825,沪农商行
601838,成都银行
601857,中国石油
601868,中国能建
601872,招商港口
601877,正泰电器
601878,浙商证券
601880,大连港
601881,中国船舶
601888,中国中免
601899,紫金矿业
601901,方正证券
601908,京能电力
601916,浙商银行
601919,中远海控
