序号,红1,红2,红3,红4,红5,蓝1,蓝2
1,2,8,15,16,18,2,3
2,2,3,6,28,35,2,4
3,2,13,15,33,35,4,7
4,1,11,18,28,29,5,6
5,6,7,10,14,22,2,7
6,3,17,23,30,35,2,7
7,5,6,13,19,24,1,11
8,6,7,15,19,25,5,8
9,11,14,18,23,24,11,12
10,5,11,16,30,35,5,7
11,3,4,15,21,26,2,5
12,14,21,26,30,32,3,5
13,9,16,17,28,35,7,10
14,9,15,24,32,33,1,2
15,5,8,10,11,28,7,12
16,1,8,17,30,34,9,11
17,8,18,19,22,28,3,8
18,1,7,12,17,33,5,11
19,10,11,13,24,33,9,12
20,1,2,8,21,32,5,6
21,4,5,6,16,32,3,9
22,9,11,17,31,34,7,10
23,13,14,20,26,35,11,12
24,8,16,24,29,34,2,4
25,1,2,5,15,22,11,12
26,3,4,5,15,22,2,9
27,14,16,18,32,35,3,10
28,7,13,16,27,31,2,11
29,4,23,27,28,30,11,12
30,4,7,16,22,26,4,12
31,9,12,28,29,35,5,8
32,4,5,7,16,29,9,11
33,1,6,11,16,27,8,12
34,4,11,14,25,26,1,7
35,17,19,28,30,32,3,4
36,4,14,19,21,35,1,12
37,4,11,31,33,34,2,9
38,5,8,12,16,26,4,10
39,3,6,21,27,34,4,5
40,9,16,17,21,26,11,12
41,1,5,20,21,30,8,10
42,5,7,14,33,35,3,5
43,5,16,19,23,24,3,8
44,1,7,20,34,35,3,5
45,7,8,10,18,19,4,10
46,14,17,22,32,33,1,5
47,1,3,6,18,28,3,6
48,1,11,17,28,29,2,12
49,3,10,24,28,35,1,3
50,3,14,20,23,24,4,11
51,7,10,16,23,27,3,12
52,2,12,16,22,27,3,5
53,3,7,15,25,31,4,8
54,2,13,15,20,23,6,7
55,5,18,23,26,33,9,11
56,2,8,12,17,22,5,10
57,3,7,21,23,28,7,10
58,8,13,17,25,33,1,7
59,1,13,24,34,35,2,7
60,8,20,21,22,33,5,11
61,9,19,21,26,27,4,7
62,1,12,20,25,26,5,12
63,14,21,28,29,30,8,11
64,6,11,14,31,33,5,9
65,6,15,16,20,22,3,4
66,2,3,5,16,31,7,8
67,13,16,25,26,32,3,11
68,1,7,12,15,28,9,12
69,4,8,9,16,30,8,11
70,21,28,29,33,34,8,9
71,11,16,17,29,31,5,11
72,16,18,29,32,34,2,5
73,16,18,21,22,35,2,3
74,5,10,14,15,25,7,12
75,4,22,27,30,35,4,7
76,1,2,23,25,31,5,7
77,15,18,27,32,35,7,8
78,2,11,22,25,26,3,8
79,2,6,26,28,35,3,8
80,4,12,17,21,25,4,8
81,18,21,22,25,27,2,5
82,2,4,23,31,35,4,11
83,2,3,5,13,16,1,10
84,8,9,10,16,31,4,10
85,8,11,17,24,30,3,5
86,2,7,20,25,26,4,12
87,5,7,8,16,20,1,10
88,5,23,24,28,35,9,11
89,1,7,22,27,32,6,7
90,10,12,28,30,34,5,11
91,18,28,30,31,35,4,6
92,6,16,18,29,30,10,12
93,2,21,22,25,32,3,8
94,14,17,18,22,23,5,10
95,1,6,13,16,34,7,12
96,2,16,29,31,32,2,5
97,15,16,20,24,26,8,9
98,22,23,28,30,34,5,12
99,8,13,15,17,21,2,9
100,12,13,14,18,31,10,12
101,7,13,15,19,34,3,6
102,1,9,18,20,35,1,12
103,1,7,9,19,32,5,10
104,4,12,22,29,31,5,8
105,4,5,8,26,32,3,12
106,6,8,16,20,27,10,12
