排名,红1,红2,红3,红4,红5,蓝1,蓝2,得分
1,1,11,19,29,35,1,12,0.843967
2,1,9,19,29,35,1,12,0.843273
3,1,11,22,29,35,1,12,0.841540
4,1,11,20,29,35,1,12,0.841540
5,1,10,19,29,35,1,12,0.841193
6,1,9,20,29,35,1,12,0.840846
7,1,9,22,29,35,1,12,0.840846
8,1,8,19,29,35,1,12,0.840153
9,1,12,19,29,35,1,12,0.839806
10,1,10,20,29,35,1,12,0.838766
11,1,10,22,29,35,1,12,0.838766
12,1,7,19,29,35,1,12,0.838072
13,1,8,20,29,35,1,12,0.837725
14,1,8,22,29,35,1,12,0.837725
15,1,12,20,29,35,1,12,0.837379
16,1,12,22,29,35,1,12,0.837379
17,1,6,19,29,35,1,12,0.836685
18,1,11,17,29,35,1,12,0.836338
19,1,11,18,29,35,1,12,0.835992
20,1,9,17,29,35,1,12,0.835645
21,1,7,22,29,35,1,12,0.835645
22,1,7,20,29,35,1,12,0.835645
23,1,9,18,29,35,1,12,0.835298
24,1,11,14,29,35,1,12,0.834605
25,1,11,13,29,35,1,12,0.834605
26,1,6,22,29,35,1,12,0.834258
27,1,6,20,29,35,1,12,0.834258
28,1,9,14,29,35,1,12,0.833911
29,1,11,19,29,35,2,12,0.833911
30,1,9,13,29,35,1,12,0.833911
31,1,10,17,29,35,1,12,0.833564
32,1,9,19,29,35,2,12,0.833218
33,1,10,18,29,35,1,12,0.833218
34,1,11,19,30,35,1,12,0.832871
35,1,8,17,29,35,1,12,0.832524
36,1,12,17,29,35,1,12,0.832178
37,1,9,19,30,35,1,12,0.832178
38,1,8,18,29,35,1,12,0.832178
39,1,11,23,29,35,1,12,0.832178
40,1,12,18,29,35,1,12,0.831831
41,1,10,14,29,35,1,12,0.831831
42,1,10,13,29,35,1,12,0.831831
43,1,9,23,29,35,1,12,0.831484
44,1,11,22,29,35,2,12,0.831484
45,1,11,20,29,35,2,12,0.831484
46,1,10,19,29,35,2,12,0.831137
47,1,8,14,29,35,1,12,0.830791
48,1,8,13,29,35,1,12,0.830791
49,1,11,21,29,35,1,12,0.830791
50,1,9,20,29,35,2,12,0.830791
51,1,9,22,29,35,2,12,0.830791
52,1,7,17,29,35,1,12,0.830444
53,1,11,22,30,35,1,12,0.830444
54,1,12,14,29,35,1,12,0.830444
55,1,12,13,29,35,1,12,0.830444
56,1,11,20,30,35,1,12,0.830444
57,1,5,19,29,35,1,12,0.830097
58,1,7,18,29,35,1,12,0.830097
59,1,9,21,29,35,1,12,0.830097
60,1,10,19,30,35,1,12,0.830097
61,1,8,19,29,35,2,12,0.830097
62,1,12,19,29,35,2,12,0.829750
63,1,9,22,30,35,1,12,0.829750
64,1,9,20,30,35,1,12,0.829750
65,1,10,23,29,35,1,12,0.829404
66,1,6,17,29,35,1,12,0.829057
67,1,8,19,30,35,1,12,0.829057
68,1,11,19,26,35,1,12,0.828710
69,1,7,14,29,35,1,12,0.828710
70,1,7,13,29,35,1,12,0.828710
71,1,12,19,30,35,1,12,0.828710
72,1,11,16,29,35,1,12,0.828710
73,1,6,18,29,35,1,12,0.828710
74,1,10,22,29,35,2,12,0.828710
75,1,10,20,29,35,2,12,0.828710
76,1,8,23,29,35,1,12,0.828363
77,1,12,23,29,35,1,12,0.828017
78,1,9,19,26,35,1,12,0.828017
79,1,10,21,29,35,1,12,0.828017
80,1,9,16,29,35,1,12,0.828017
81,1,13,19,29,35,1,12,0.828017
82,1,7,19,29,35,2,12,0.828017
83,1,8,20,29,35,2,12,0.827670
84,1,10,20,30,35,1,12,0.827670
85,1,5,22,29,35,1,12,0.827670
86,1,8,22,29,35,2,12,0.827670
87,1,11,15,29,35,1,12,0.827670
88,1,5,20,29,35,1,12,0.827670
89,1,10,22,30,35,1,12,0.827670
90,1,6,14,29,35,1,12,0.827323
91,1,6,13,29,35,1,12,0.827323
92,1,12,20,29,35,2,12,0.827323
93,1,12,22,29,35,2,12,0.827323
94,1,7,19,30,35,1,12,0.826976
95,1,8,21,29,35,1,12,0.826976
96,1,9,15,29,35,1,12,0.826976
97,1,8,22,30,35,1,12,0.826630
98,1,12,21,29,35,1,12,0.826630
99,1,8,20,30,35,1,12,0.826630
100,1,6,19,29,35,2,12,0.826630
